"Item Group Code","Item Group","Item Code","Item","Element Code","Element","Factor"
"1944","Cereals","29","Rice, milled/husked","5610","Import Quantity","1"
"1944","Cereals","29","Rice, milled/husked","5910","Export Quantity","1"
"1944","Cereals","27","Rice, paddy","5610","Import Quantity","0.65"
"1944","Cereals","27","Rice, paddy","5910","Export Quantity","0.65"
"1944","Cereals","71","Rye","5610","Import Quantity","1"
"1944","Cereals","71","Rye","5910","Export Quantity","1"
"1944","Cereals","83","Sorghum","5610","Import Quantity","1"
"1944","Cereals","83","Sorghum","5910","Export Quantity","1"
"1944","Cereals","97","Triticale","5610","Import Quantity","1"
"1944","Cereals","97","Triticale","5910","Export Quantity","1"
"1944","Cereals","15","Wheat","5610","Import Quantity","1"
"1944","Cereals","15","Wheat","5910","Export Quantity","1"
"1968","Groundnuts Total Shelled","243","Groundnuts, shelled","5610","Import Quantity","1"
"1968","Groundnuts Total Shelled","243","Groundnuts, shelled","5910","Export Quantity","1"
"1968","Groundnuts Total Shelled","242","Groundnuts, with shell","5610","Import Quantity","0.7"
"1968","Groundnuts Total Shelled","242","Groundnuts, with shell","5910","Export Quantity","0.7"
"2030","Milk Equivalent","983","Butter and ghee, sheep milk","5610","Import Quantity","6.6"
"2030","Milk Equivalent","983","Butter and ghee, sheep milk","5910","Export Quantity","6.6"
"2030","Milk Equivalent","886","Butter, cow milk","5610","Import Quantity","6.6"
"2030","Milk Equivalent","886","Butter, cow milk","5910","Export Quantity","6.6"
"2030","Milk Equivalent","893","Buttermilk, curdled, acidified milk","5610","Import Quantity","1"
"2030","Milk Equivalent","893","Buttermilk, curdled, acidified milk","5910","Export Quantity","1"
"2030","Milk Equivalent","1021","Cheese, goat milk","5610","Import Quantity","4.4"
"2030","Milk Equivalent","1021","Cheese, goat milk","5910","Export Quantity","4.4"
"2030","Milk Equivalent","907","Cheese, processed","5610","Import Quantity","1"
"2030","Milk Equivalent","907","Cheese, processed","5910","Export Quantity","1"
"2030","Milk Equivalent","984","Cheese, sheep milk","5610","Import Quantity","4.4"
"2030","Milk Equivalent","984","Cheese, sheep milk","5910","Export Quantity","4.4"
"2030","Milk Equivalent","904","Cheese, skimmed cow milk","5610","Import Quantity","2"
"2030","Milk Equivalent","904","Cheese, skimmed cow milk","5910","Export Quantity","2"
"2030","Milk Equivalent","901","Cheese, whole cow milk","5610","Import Quantity","4.4"
"2030","Milk Equivalent","901","Cheese, whole cow milk","5910","Export Quantity","4.4"
"2030","Milk Equivalent","885","Cream fresh","5610","Import Quantity","3.6"
"2030","Milk Equivalent","885","Cream fresh","5910","Export Quantity","3.6"
"2030","Milk Equivalent","953","Ghee, buffalo milk","5610","Import Quantity","8"
"2030","Milk Equivalent","953","Ghee, buffalo milk","5910","Export Quantity","8"
"2030","Milk Equivalent","887","Ghee, butteroil of cow milk","5610","Import Quantity","8"
"2030","Milk Equivalent","887","Ghee, butteroil of cow milk","5910","Export Quantity","8"
"2030","Milk Equivalent","899","Milk, dry buttermilk","5610","Import Quantity","7.6"
"2030","Milk Equivalent","899","Milk, dry buttermilk","5910","Export Quantity","7.6"
"2030","Milk Equivalent","909","Milk, products of natural constituents nes","5610","Import Quantity","1"
"2030","Milk Equivalent","909","Milk, products of natural constituents nes","5910","Export Quantity","1"
"2030","Milk Equivalent","896","Milk, skimmed condensed","5610","Import Quantity","1.9"
"2030","Milk Equivalent","896","Milk, skimmed condensed","5910","Export Quantity","1.9"
"2030","Milk Equivalent","888","Milk, skimmed cow","5610","Import Quantity","0.7"
"2030","Milk Equivalent","888","Milk, skimmed cow","5910","Export Quantity","0.7"
"2030","Milk Equivalent","898","Milk, skimmed dried","5610","Import Quantity","7.6"
"2030","Milk Equivalent","898","Milk, skimmed dried","5910","Export Quantity","7.6"
"2030","Milk Equivalent","895","Milk, skimmed evaporated","5610","Import Quantity","1.9"
"2030","Milk Equivalent","895","Milk, skimmed evaporated","5910","Export Quantity","1.9"
"2030","Milk Equivalent","889","Milk, whole condensed","5610","Import Quantity","2.1"
"2030","Milk Equivalent","889","Milk, whole condensed","5910","Export Quantity","2.1"
"2030","Milk Equivalent","897","Milk, whole dried","5610","Import Quantity","7.6"
"2030","Milk Equivalent","897","Milk, whole dried","5910","Export Quantity","7.6"
"2030","Milk Equivalent","894","Milk, whole evaporated","5610","Import Quantity","2.1"
"2030","Milk Equivalent","894","Milk, whole evaporated","5910","Export Quantity","2.1"
"2030","Milk Equivalent","882","Milk, whole fresh cow","5610","Import Quantity","1"
"2030","Milk Equivalent","882","Milk, whole fresh cow","5910","Export Quantity","1"
"2030","Milk Equivalent","982","Milk, whole fresh sheep","5610","Import Quantity","1"
"2030","Milk Equivalent","982","Milk, whole fresh sheep","5910","Export Quantity","1"
"2030","Milk Equivalent","905","Whey, cheese","5610","Import Quantity","1"
"2030","Milk Equivalent","905","Whey, cheese","5910","Export Quantity","1"
"2030","Milk Equivalent","890","Whey, condensed","5610","Import Quantity","1.5"
"2030","Milk Equivalent","890","Whey, condensed","5910","Export Quantity","1.5"
"2030","Milk Equivalent","900","Whey, dry","5610","Import Quantity","7.6"
"2030","Milk Equivalent","900","Whey, dry","5910","Export Quantity","7.6"
"2030","Milk Equivalent","903","Whey, fresh","5610","Import Quantity","0.5"
"2030","Milk Equivalent","903","Whey, fresh","5910","Export Quantity","0.5"
"2030","Milk Equivalent","891","Yoghurt","5610","Import Quantity","1"
"2030","Milk Equivalent","891","Yoghurt","5910","Export Quantity","1"
"2030","Milk Equivalent","892","Yoghurt, concentrated or not","5610","Import Quantity","1"
"2030","Milk Equivalent","892","Yoghurt, concentrated or not","5910","Export Quantity","1"
"2073","Pigmeat","1039","Bacon and ham","5610","Import Quantity","1.2"
"2073","Pigmeat","1039","Bacon and ham","5910","Export Quantity","1.2"
"2073","Pigmeat","1035","Meat, pig","5610","Import Quantity","1"
"2073","Pigmeat","1035","Meat, pig","5910","Export Quantity","1"
"2073","Pigmeat","1041","Meat, pig sausages","5610","Import Quantity","0.85"
"2073","Pigmeat","1041","Meat, pig sausages","5910","Export Quantity","0.85"
"2073","Pigmeat","1042","Meat, pig, preparations","5610","Import Quantity","1.2"
"2073","Pigmeat","1042","Meat, pig, preparations","5910","Export Quantity","1.2"
"2073","Pigmeat","1038","Meat, pork","5610","Import Quantity","1.2"
"2073","Pigmeat","1038","Meat, pork","5910","Export Quantity","1.2"
"2074","Poultry Meat","1060","Fat, liver prepared (foie gras)","5610","Import Quantity","0.75"
"2074","Poultry Meat","1060","Fat, liver prepared (foie gras)","5910","Export Quantity","0.75"
"2074","Poultry Meat","1089","Meat, bird nes","5610","Import Quantity","1"
"2074","Poultry Meat","1089","Meat, bird nes","5910","Export Quantity","1"
"2074","Poultry Meat","1058","Meat, chicken","5610","Import Quantity","1"
"2074","Poultry Meat","1058","Meat, chicken","5910","Export Quantity","1"
"2074","Poultry Meat","1061","Meat, chicken, canned","5610","Import Quantity","1.45"
"2074","Poultry Meat","1061","Meat, chicken, canned","5910","Export Quantity","1.45"
"2074","Poultry Meat","1069","Meat, duck","5610","Import Quantity","1"
"2074","Poultry Meat","1069","Meat, duck","5910","Export Quantity","1"
"2074","Poultry Meat","1073","Meat, goose and guinea fowl","5610","Import Quantity","1"
"2074","Poultry Meat","1073","Meat, goose and guinea fowl","5910","Export Quantity","1"
"2074","Poultry Meat","1080","Meat, turkey","5610","Import Quantity","1"
"2074","Poultry Meat","1080","Meat, turkey","5910","Export Quantity","1"
"1946","Rice","30","Rice - total  (Rice milled equivalent)","5610","Import Quantity",""
"1946","Rice","30","Rice - total  (Rice milled equivalent)","5910","Export Quantity",""
"1946","Rice","32","Rice, broken","5610","Import Quantity","1"
"1946","Rice","32","Rice, broken","5910","Export Quantity","1"
"1946","Rice","28","Rice, husked","5610","Import Quantity","0.9"
"1946","Rice","28","Rice, husked","5910","Export Quantity","0.9"
"1946","Rice","31","Rice, milled","5610","Import Quantity","1"
"1946","Rice","31","Rice, milled","5910","Export Quantity","1"
"1946","Rice","29","Rice, milled/husked","5610","Import Quantity","1"
"1946","Rice","29","Rice, milled/husked","5910","Export Quantity","1"
"1946","Rice","27","Rice, paddy","5610","Import Quantity","0.65"
"1946","Rice","27","Rice, paddy","5910","Export Quantity","0.65"
"1955","Sugar, Total (Raw Equiv.)","162","Sugar Raw Centrifugal","5610","Import Quantity","1"
"1955","Sugar, Total (Raw Equiv.)","162","Sugar Raw Centrifugal","5910","Export Quantity","1"
"1955","Sugar, Total (Raw Equiv.)","164","Sugar refined","5610","Import Quantity","1.087"
"1955","Sugar, Total (Raw Equiv.)","164","Sugar refined","5910","Export Quantity","1.087"
"2077","Total Meat","1039","Bacon and ham","5610","Import Quantity","1.2"
"2077","Total Meat","1039","Bacon and ham","5910","Export Quantity","1.2"
"2077","Total Meat","1060","Fat, liver prepared (foie gras)","5610","Import Quantity","0.75"
"2077","Total Meat","1060","Fat, liver prepared (foie gras)","5910","Export Quantity","0.75"
"2077","Total Meat","1166","Meat nes","5610","Import Quantity","1"
"2077","Total Meat","1166","Meat nes","5910","Export Quantity","1"
"2077","Total Meat","1172","Meat nes, preparations","5610","Import Quantity","1"
"2077","Total Meat","1172","Meat nes, preparations","5910","Export Quantity","1"
"2077","Total Meat","1108","Meat, ass","5610","Import Quantity","1"
"2077","Total Meat","1108","Meat, ass","5910","Export Quantity","1"
"2077","Total Meat","874","Meat, beef and veal sausages","5610","Import Quantity","1"
"2077","Total Meat","874","Meat, beef and veal sausages","5910","Export Quantity","1"
"2077","Total Meat","872","Meat, beef, dried, salted, smoked","5610","Import Quantity","1.3"
"2077","Total Meat","872","Meat, beef, dried, salted, smoked","5910","Export Quantity","1.3"
"2077","Total Meat","875","Meat, beef, preparations","5610","Import Quantity","1.35"
"2077","Total Meat","875","Meat, beef, preparations","5910","Export Quantity","1.35"
"2077","Total Meat","1089","Meat, bird nes","5610","Import Quantity","1"
"2077","Total Meat","1089","Meat, bird nes","5910","Export Quantity","1"
"2077","Total Meat","947","Meat, buffalo","5610","Import Quantity","1"
"2077","Total Meat","947","Meat, buffalo","5910","Export Quantity","1"
"2077","Total Meat","1127","Meat, camel","5610","Import Quantity","1"
"2077","Total Meat","1127","Meat, camel","5910","Export Quantity","1"
"2077","Total Meat","867","Meat, cattle","5610","Import Quantity","1"
"2077","Total Meat","867","Meat, cattle","5910","Export Quantity","1"
"2077","Total Meat","870","Meat, cattle, boneless (beef & veal)","5610","Import Quantity","1.3"
"2077","Total Meat","870","Meat, cattle, boneless (beef & veal)","5910","Export Quantity","1.3"
"2077","Total Meat","1058","Meat, chicken","5610","Import Quantity","1"
"2077","Total Meat","1058","Meat, chicken","5910","Export Quantity","1"
"2077","Total Meat","1061","Meat, chicken, canned","5610","Import Quantity","1.4"
"2077","Total Meat","1061","Meat, chicken, canned","5910","Export Quantity","1.4"
"2077","Total Meat","1164","Meat, dried nes","5610","Import Quantity","1"
"2077","Total Meat","1164","Meat, dried nes","5910","Export Quantity","1"
"2077","Total Meat","1069","Meat, duck","5610","Import Quantity","1"
"2077","Total Meat","1069","Meat, duck","5910","Export Quantity","1"
"2077","Total Meat","873","Meat, extracts","5610","Import Quantity","1.35"
"2077","Total Meat","873","Meat, extracts","5910","Export Quantity","1.35"
"2077","Total Meat","1163","Meat, game","5610","Import Quantity","1"
"2077","Total Meat","1163","Meat, game","5910","Export Quantity","1"
"2077","Total Meat","1017","Meat, goat","5610","Import Quantity","1"
"2077","Total Meat","1017","Meat, goat","5910","Export Quantity","1"
"2077","Total Meat","1073","Meat, goose and guinea fowl","5610","Import Quantity","1"
"2077","Total Meat","1073","Meat, goose and guinea fowl","5910","Export Quantity","1"
"2077","Total Meat","877","Meat, homogenized preparations","5610","Import Quantity","1.2"
"2077","Total Meat","877","Meat, homogenized preparations","5910","Export Quantity","1.2"
"2077","Total Meat","1097","Meat, horse","5610","Import Quantity","1"
"2077","Total Meat","1097","Meat, horse","5910","Export Quantity","1"
"2077","Total Meat","1035","Meat, pig","5610","Import Quantity","1"
"2077","Total Meat","1035","Meat, pig","5910","Export Quantity","1"
"2077","Total Meat","1041","Meat, pig sausages","5610","Import Quantity","0.85"
"2077","Total Meat","1041","Meat, pig sausages","5910","Export Quantity","0.85"
"2077","Total Meat","1042","Meat, pig, preparations","5610","Import Quantity","1.2"
"2077","Total Meat","1042","Meat, pig, preparations","5910","Export Quantity","1.2"
"2077","Total Meat","1038","Meat, pork","5610","Import Quantity","1.2"
"2077","Total Meat","1038","Meat, pork","5910","Export Quantity","1.2"
"2077","Total Meat","1141","Meat, rabbit","5610","Import Quantity","1"
"2077","Total Meat","1141","Meat, rabbit","5910","Export Quantity","1"
"2077","Total Meat","977","Meat, sheep","5610","Import Quantity","1"
"2077","Total Meat","977","Meat, sheep","5910","Export Quantity","1"
"2077","Total Meat","1080","Meat, turkey","5610","Import Quantity","1"
"2077","Total Meat","1080","Meat, turkey","5910","Export Quantity","1"
"1945","Wheat+Flour,Wheat Equivalent","16","Flour, wheat","5610","Import Quantity","1.389"
"1945","Wheat+Flour,Wheat Equivalent","16","Flour, wheat","5910","Export Quantity","1.389"
"1945","Wheat+Flour,Wheat Equivalent","15","Wheat","5610","Import Quantity","1"
"1945","Wheat+Flour,Wheat Equivalent","15","Wheat","5910","Export Quantity","1"
